student code,city,personality,day/ night person,smoke
1,2,2,1,2
2,3,11,2,1
3,2,14,1,1
4,5,3,2,2
5,1,12,2,1
6,3,15,1,2
7,4,12,1,1
8,4,14,1,2
9,6,10,1,1
10,1,8,1,2
11,6,11,1,1
12,4,13,2,2
13,2,8,1,1
14,5,11,2,1
15,4,5,1,2
16,2,11,1,2
17,5,12,2,2
18,3,9,2,2
19,6,4,2,1
20,4,9,2,2
21,1,2,1,2
22,4,13,2,1
23,4,5,1,1
24,6,8,2,2
25,2,16,1,2
26,5,12,1,2
27,2,7,2,1
28,1,7,1,2
29,3,2,2,2
30,4,5,2,2
31,4,10,1,2
32,3,10,2,1
33,2,1,1,2
34,2,3,1,2
35,3,5,2,1
36,3,8,2,2
37,2,7,1,1
38,2,6,2,2
39,4,12,2,1
40,3,14,2,1
41,6,13,2,2
42,4,9,1,1
43,2,1,2,2
44,4,7,2,1
45,3,15,2,2
46,5,12,1,1
47,4,4,1,1
48,1,4,1,1
49,3,16,2,2
50,4,7,1,2
51,2,5,2,1
52,4,14,2,1
53,3,1,2,1
54,3,8,1,1
55,5,13,2,1
56,5,7,2,1
57,6,14,1,1
58,4,15,1,1
59,4,2,1,2
60,4,1,1,1
61,4,1,1,2
62,5,7,1,1
63,3,11,2,1
64,3,6,2,1
65,2,8,2,1
66,3,12,1,1
67,3,4,2,1
68,2,4,1,2
69,5,2,2,1
70,4,6,1,1
71,5,4,1,1
72,1,4,1,1
73,5,3,2,2
74,2,7,2,2
75,6,6,1,2
76,1,12,2,2
77,5,1,1,1
78,4,13,2,2
79,1,6,1,1
80,5,6,1,1
81,3,9,1,2
82,4,11,1,2
83,6,1,2,1
84,1,3,2,1
85,2,11,2,1
86,4,4,2,2
87,6,7,2,1
88,2,10,2,1
89,3,7,2,1
90,2,13,1,2
91,3,10,2,1
92,5,15,1,2
93,3,15,2,2
94,4,5,1,2
95,5,5,2,2
96,4,2,2,2
97,3,9,1,1
98,3,3,1,1
99,1,4,1,1
100,3,4,2,2
101,3,15,2,1
102,3,2,2,1
103,4,16,1,2
104,3,10,2,2
105,5,5,1,1
106,1,15,2,1
107,2,12,1,2
108,3,13,1,2
109,2,6,1,2
110,2,7,1,2
111,5,3,2,1
112,4,10,2,2
113,5,15,2,2
114,2,11,2,1
115,4,10,1,2
116,1,12,2,2
117,5,15,1,2
118,4,15,2,1
119,4,10,2,1
120,4,4,2,2
121,5,16,1,1
122,5,13,2,2
123,3,10,2,2
124,2,11,1,2
125,5,8,1,2
126,5,2,1,2
127,4,1,2,1
128,2,3,1,2
129,3,12,1,1
130,5,1,2,2
131,5,8,2,2
132,2,8,2,2
133,5,2,1,1
134,3,11,1,2
135,2,6,1,1
136,2,3,1,2
137,5,14,1,2
138,5,4,2,2
139,3,8,1,1
140,5,4,1,2
141,5,7,2,2
142,4,11,2,2
143,5,8,2,1
144,4,7,2,1
145,2,1,1,1
146,5,13,1,1
147,3,9,2,2
148,4,8,1,1
149,2,6,2,1
150,5,5,2,2
151,6,4,1,2
152,2,10,1,2
153,4,11,2,2
154,6,11,2,2
155,4,3,2,2
156,1,13,1,1
157,2,5,2,2
158,4,1,2,1
159,1,1,1,2
160,4,6,1,1
161,2,1,1,2
162,3,10,2,2
163,3,7,2,2
164,3,15,2,2
165,1,15,2,1
166,3,5,2,1
167,5,15,2,2
168,4,15,1,2
169,5,14,1,2
170,4,13,1,1
171,2,14,2,1
172,2,4,1,1
173,3,13,1,2
174,2,3,1,2
175,3,4,2,2
176,2,9,2,1
177,2,2,1,2
178,1,6,2,1
179,4,6,2,1
180,2,1,1,2
181,1,11,2,1
182,3,4,2,1
183,3,15,2,2
184,6,15,1,2
185,3,15,1,2
186,2,14,1,1
187,2,5,2,1
188,6,7,2,1
189,5,5,1,2
190,5,4,2,1
191,3,12,1,2
192,3,4,1,1
193,1,2,2,1
194,6,11,2,2
195,5,7,1,1
196,3,15,1,2
